Precision Setting,Significant Digits,FP64,FP32,FP16,BF16,E4M3,E5M2
1,1,0,95,0,0,1,0
1,2,0,95,0,0,1,0
1,3,75,20,0,0,1,0
1,4,75,20,0,0,1,0
1,5,75,20,0,0,1,0
1,6,75,20,0,0,1,0
1,7,75,20,0,0,1,0
1,8,75,20,0,0,1,0
1,9,75,20,0,0,1,0
1,10,75,20,0,0,1,0
2,1,0,95,1,0,0,0
2,2,0,95,1,0,0,0
2,3,75,20,0,0,0,1
2,4,75,20,0,0,0,1
2,5,75,20,0,0,0,1
2,6,75,20,0,0,0,1
2,7,75,20,0,0,0,1
2,8,75,20,0,0,0,1
2,9,75,20,0,0,0,1
2,10,75,20,0,0,0,1
3,1,0,80,0,0,16,0
3,2,0,80,0,0,16,0
3,3,75,7,0,0,14,0
3,4,75,7,0,0,14,0
3,5,75,7,0,0,14,0
3,6,75,7,0,0,14,0
3,7,75,7,0,0,14,0
3,8,75,7,0,0,14,0
3,9,75,7,0,0,14,0
3,10,75,7,0,0,14,0
4,1,0,80,0,0,0,16
4,2,0,80,0,1,0,15
4,3,75,7,0,0,0,14
4,4,75,7,0,0,0,14
4,5,75,7,0,0,0,14
4,6,75,7,0,0,0,14
4,7,75,7,0,0,0,14
4,8,0,0,0,0,0,0
4,9,0,0,0,0,0,0
4,10,0,0,0,0,0,0
