Precision Setting,Significant Digits,FP64,FP32,FP16,BF16,E4M3,E5M2
1,1,61,20,2,0,3,0
1,2,61,20,2,0,3,0
1,3,61,20,2,0,3,0
1,4,61,20,2,0,3,0
1,5,62,19,2,0,3,0
1,6,62,19,2,0,3,0
1,7,62,23,0,0,1,0
1,8,66,19,0,0,1,0
1,9,66,19,0,0,1,0
1,10,66,19,0,0,1,0
2,1,61,20,0,0,0,5
2,2,61,20,0,0,0,5
2,3,61,20,0,0,0,5
2,4,61,20,0,0,0,5
2,5,62,19,0,0,0,5
2,6,62,19,0,0,0,5
2,7,62,23,0,0,0,1
2,8,66,19,0,0,0,1
2,9,66,19,0,0,0,1
2,10,66,19,0,0,0,1
3,1,61,4,0,2,19,0
3,2,61,4,0,2,19,0
3,3,61,6,0,0,19,0
3,4,61,6,0,0,19,0
3,5,62,6,0,1,17,0
3,6,62,6,0,1,17,0
3,7,62,12,0,3,9,0
3,8,66,8,0,4,8,0
3,9,66,11,0,2,7,0
3,10,66,13,0,0,7,0
4,1,61,4,0,2,0,19
4,2,61,4,0,2,0,19
4,3,61,6,0,0,0,19
4,4,61,6,0,0,0,19
4,5,62,6,0,0,0,18
4,6,62,6,0,0,0,18
4,7,62,12,0,4,0,8
4,8,66,8,0,5,0,7
4,9,66,11,0,2,0,7
4,10,66,13,0,0,0,7
