948,0.246337
671,3.8165
194,5.51571
10,0.182807
814,5.22866
451,5.50714
162,0.222568
760,4.52172
233,5.5599
117,0.268369
711,4.63456
476,5.46793
681,0.345321
362,4.65635
692,5.41095
968,0.400232
776,4.05977
429,4.53922
882,0.344049
88,4.9569
59,5.85908
661,0.430998
486,5.64001
181,6.08162
150,0.266666
638,5.11073
83,5.41663
196,0.245272
277,4.02893
820,5.04418
288,0.372396
667,4.83334
750,6.03287
716,0.378163
779,4.73307
523,5.37917
485,0.378258
734,6.4845
755,6.68518
314,0.36239
373,4.0791
147,5.26345
346,0.302496
823,5.21533
752,5.40611
222,0.357925
590,3.6346
42,5.18473
864,0.228143
819,4.21905
996,5.37423
237,0.355659
21,3.86307
900,5.30906
140,0.309007
765,4.38939
471,6.02093
398,0.308191
186,5.46387
534,5.62519
69,0.326669
940,4.69192
160,4.72224
74,0.246049
703,5.39062
595,5.67694
692,0.255643
681,5.25974
607,5.55614
643,0.329398
828,5.576
658,6.06557
712,0.158267
630,5.37932
968,5.5514
987,0.317921
742,4.6067
169,4.68524
869,0.396649
428,3.75234
83,4.81859
522,0.266528
908,5.00323
437,5.26435
495,0.263322
776,4.41194
469,4.93177
157,0.4149
553,2.93254
970,4.30322
746,0.249456
25,4.10895
696,5.12464
531,0.172044
100,6.44742
702,6.48925
339,0.146506
388,5.5107
947,5.98008
241,0.409627
311,5.8895
393,6.00056
126,0.256951
353,4.10142
268,5.41046
653,0.344251
891,4.27187
151,5.48699
967,0.368629
283,5.16716
608,5.52266
504,0.330839
462,5.25259
427,5.26467
672,0.29316
163,6.30393
734,6.77523
208,0.133486
182,4.43507
527,5.22131
272,0.330705
419,5.41786
246,5.57779
137,0.447823
715,4.69199
359,5.1228
682,0.313001
597,5.63358
718,6.38838
812,0.270674
690,5.31482
777,5.69609
75,0.294944
373,5.42465
623,5.6234
542,0.219412
493,4.78658
470,5.21242
655,0.316507
446,6.4333
61,6.4834
417,0.2756
769,4.73225
178,4.89778
720,0.276916
649,5.23086
239,5.35049
677,0.381256
794,6.00788
766,6.05156
