948,671,194
10,814,451
162,760,233
117,711,476
681,362,692
968,776,429
882,88,59
661,486,181
150,638,83
196,277,820
288,667,750
716,779,523
485,734,755
314,373,147
346,823,752
222,590,42
864,819,996
237,21,900
140,765,471
398,186,534
69,940,160
74,703,595
692,681,607
643,828,658
712,630,968
987,742,169
869,428,83
522,908,437
495,776,469
157,553,970
746,25,696
531,100,702
339,388,947
241,311,393
126,353,268
653,891,151
967,283,608
504,462,427
672,163,734
208,182,527
272,419,246
137,715,359
682,597,718
812,690,777
75,373,623
542,493,470
655,446,61
417,769,178
720,649,239
677,794,766
